Title,Date,State,Total_deaths,full place name,state,latitude,longitude
Police Wounded in Bauchi Explosion,8/7/11,Bauchi,0,"Bauchi, Bauchi, Nigeria",Bauchi,11.68040977,10.19001339
Raid in Bisichi,8/8/11,Plateau,2,"Jos South, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Teacher Gunned Down in Maiduguri,8/8/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Violence in Bisichi,8/8/11,Plateau,2,"Jos South, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Abraka University Violence,8/9/11,Delta,2,"Asaba, Delta, Nigeria",Delta,5.890427265,5.680004434
"Arrests, Clashes in Biu",8/9/11,Borno,1,"Biu, Borno, Nigeria",Borno,10.62042279,12.18999467
Attack on Maiduguri Bank,8/9/11,Borno,2,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Attack on Maiduguri Police Station,8/9/11,Borno,0,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Chevron Flow Station Explosion in Delta State,8/11/11,Delta,0,"Warri North, Delta, Nigeria",Delta,5.890427265,5.680004434
Muslim Cleric Assassinated in Ngala,8/12/11,Borno,1,"Ngala, Borno, Nigeria",Borno,10.62042279,12.18999467
Five Die from Excessive Use of Force in Anambra,8/13/11,Anambra,5,"Anaocha, Anambra, Nigeria",Anambra,6.210433572,7.06999711
Jos Reprisal Killings,8/14/11,Plateau,15,"Jos South, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Attacks in Heipang and Foron,8/15/11,Plateau,15,"Jos South, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Suicide Bomber Dies in Unsuccessful Maiduguri Attack,8/15/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Bank Seige in Gamawa,8/16/11,Bauchi,0,"Gamawa, Bauchi, Nigeria",Bauchi,11.68040977,10.19001339
Police Station Attacked,8/16/11,Borno,2,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Attack in Jos,8/18/11,Plateau,2,"Jos South, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Suspected Boko Haram Members Kill Policemen,8/19/11,Borno,4,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Jos Violence,8/20/11,Plateau,4,"Jos South, Plateau, Nigeria",Plateau,9.929973978,8.890041055
"Police, Bank Attacks in Gombi",8/25/11,Adamawa,16,", Adamawa, Nigeria",Adamawa,10.2703408,13.2700321
Attack on UN Headquarters in Abuja,8/26/11,Federal Capital Territory,23,"Federal Capital Territory Municipal Area Council (AMAC), Federal Capital Territory, Nigeria",Federal Capital Territory,9.083333149,7.533328002
Renewed Jos Violence,8/29/11,Plateau,20,"Jos South, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Religious Violence in Jos,9/1/11,Plateau,42,"Jos South, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Attacks Near Jos Leave Four Dead,9/4/11,Plateau,4,"Jos South, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Gunmen Shot Muslim Cleric Dead in Maiduguri,9/4/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Seven Die in Dabwak,9/4/11,Plateau,8,"Jos North, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Tahu Violence Leaves Eight Dead,9/4/11,Plateau,8,"Barkin Ladi, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Explosion in Maiduguri,9/6/11,Borno,0,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Nine Murdered in Jos Attack,9/9/11,Plateau,9,"Barkin Ladi, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Three Murdered in Another Jos Attack,9/9/11,Plateau,3,"Barkin Ladi, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Fifteen Dead in Vwang Attack,9/10/11,Plateau,15,"Jos South, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Explosions in Jos,9/11/11,Plateau,0,"Jos South, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Seven Die in Misau,9/12/11,Bauchi,7,"Misau, Bauchi, Nigeria",Bauchi,11.68040977,10.19001339
Four Dead in Maiduguri Shooting,9/13/11,Borno,4,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Babakura Fugu Killed in Maiduguri,9/17/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Four Killed in Bitaro,9/18/11,Kaduna,4,"Jaba, Kaduna, Nigeria",Kaduna,11.0799813,7.710009724
Nasarawa Priest Killed,9/23/11,Nasarawa,1,"Wamba, Nasarawa, Nigeria",Nasarawa,8.490423603,8.5200378
"Gunmen Kill Beer Distributor, Wife at Zuba",9/29/11,Federal Capital Territory,2,", Federal Capital Territory, Nigeria",Federal Capital Territory,9.083333149,7.533328002
Bombing and Shootout in Maiduguri,10/1/11,Borno,3,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Gunmen Kill Two During Maiduguri Attack,10/1/11,Borno,2,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Attacks in Zamfara Leave Nineteen Dead,10/2/11,Zamfara,19,", Zamfara, Nigeria",Zamfara,12.1704057,6.659996296
Gunmen Murder Three in Maiduguri,10/3/11,Borno,3,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Tanjol Violence Leaves Two Dead,10/4/11,Plateau,2,", Plateau, Nigeria",Plateau,9.929973978,8.890041055
Two Suspected Boko Haram Members Killed,10/5/11,Borno,2,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Enugu PDP Chief Assassinated,10/7/11,Enugu,1,"Enugu South, Enugu, Nigeria",Enugu,6.867034321,7.383362995
Confusion Leads to Death of Two Ex- Massob Members in Onitsha,10/8/11,Anambra,2,"Onitsha North, Anambra, Nigeria",Anambra,6.210433572,7.06999711
Niger LGA Elections Leave One Dead,10/8/11,Niger,1,"Kontagora, Niger, Nigeria",Niger,10.4003587,5.469939737
"Suspected Boko Haram Members Rob Bank, Murder Officer in Damboa",10/12/11,Borno,1,"Damboa, Borno, Nigeria",Borno,10.62042279,12.18999467
Prison Guard Killed by Suspected Militants in Maiduguri,10/13/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Borno Vigilante Head Killed,10/15/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Soldier Killed in Jos Machete Attack,10/15/11,Plateau,1,"Jos, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Two Civilians Found Dead After Suspected Police Brutality Near Jos,10/15/11,Plateau,2,", Plateau, Nigeria",Plateau,9.929973978,8.890041055
Gombe Police Station Blast Kills Three,10/16/11,Gombe,4,"Gombe, Gombe, Nigeria",Gombe,10.29044293,11.16995357
Gunmen Kill MP in Maiduguri,10/16/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
"Fifteen Die in Attack, Backlash in Central Nigerian Town",10/17/11,Benue,15,"Logo, Benue, Nigeria",Benue,7.190399596,8.129984089
Businessman Shot and Killed in Maiduguri,10/19/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Muslim Cleric and His Student Killed in Maiduguri,10/19/11,Borno,2,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Prison Wardner and Salon Owner Killed in Maiduguri,10/19/11,Borno,2,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
"In Bauchi, Two Die Over Football Dispute",10/20/11,Bauchi,2,"Bauchi, Bauchi, Nigeria",Bauchi,11.68040977,10.19001339
Jos Pastor Killed,10/20/11,Plateau,0,"Jos South, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Police Kill One Wound Nine,10/20/11,Ekiti,1,"Ido, Ekiti, Nigeria",Ekiti,7.630372741,5.219980834
Gunmen Injured Two in Kaduna,10/21/11,Kaduna,0,"Zangon-Kataf, Kaduna, Nigeria",Kaduna,11.0799813,7.710009724
Nigerian Reporter's Death Blamed on Islamic Boko Haram,10/21/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Ex-NLC Chairman Gunned Down in Osun,10/25/11,Osun,1,"Ifelodun, Osun, Nigeria",Osun,7.629959329,4.179992634
Bomb Attack in Maiduguri,10/27/11,Borno,0,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Gunmen Murder Borno Cleric,10/29/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Bomb Blast Destroys Block Industry,10/30/11,Borno,0,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Explosion Rocks Maiduguri,10/30/11,Borno,0,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Ogun Officials Attacked,10/30/11,Ogun,0,"Abeokuta, Ogun, Nigeria",Ogun,7.160427265,3.350017455
Lawmaker Escapes Death as Three Die in Nurtw Clash,11/1/11,Ogun,3,"Ifo, Ogun, Nigeria",Ogun,7.160427265,3.350017455
Police Stray Bullet Kills School Teacher,11/1/11,Kaduna,1,"Zaria, Kaduna, Nigeria",Kaduna,11.0799813,7.710009724
Two Policemen Killed,11/3/11,Lagos,2,"Oshodi-Isolo, Lagos, Nigeria",Lagos,6.443261653,3.391531071
Gunmen Kill Soldier in Maiduguri,11/4/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Suicide Bombers Hit Military HQ in Maiduguri,11/4/11,Borno,2,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Attacks in Northern Nigeria,11/5/11,Yobe,150,"Damaturu, Yobe, Nigeria",Yobe,11.74899608,11.96600457
"Gunmen Shoot, Kidnap Traditional Head",11/5/11,Bayelsa,1,"Ogbia, Bayelsa, Nigeria",,,
Gunmen Kill Two Women in Church,11/6/11,Kaduna,2,"Zangon-Kataf, Kaduna, Nigeria",Kaduna,11.0799813,7.710009724
"Village Attacked in Kaduna, One Dead, One Injured",11/6/11,Kaduna,1,"Zangon-Kataf, Kaduna, Nigeria",Kaduna,11.0799813,7.710009724
Attack on Police Station in Mainok,11/9/11,Borno,4,"Kaga, Borno, Nigeria",Borno,10.62042279,12.18999467
Government Official's Brother Killed in Borno State,11/9/11,Borno,2,"Kaga, Borno, Nigeria",Borno,10.62042279,12.18999467
Suspected Cultists Kill Four in Bayelsa,11/9/11,Bayelsa,4,"Yenegoa, Bayelsa, Nigeria",,,
Government Media Adviser Killed,11/12/11,Benue,1,"Makurdi, Benue, Nigeria",Benue,7.190399596,8.129984089
Man Gunned Down Near Shehu of Borno's Palace,11/13/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Two Wounded in Bomb Blast,11/13/11,Bauchi,0,"Bauchi, Bauchi, Nigeria",Bauchi,11.68040977,10.19001339
Gunmen Kill Student,11/14/11,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Bomb Blast as Governor Shettima Returns to Maiduguri,11/15/11,Borno,0,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
NURTW Crisis Leaves Four Dead,11/15/11,Ogun,20,"Ado-Odo/Ota, Ogun, Nigeria",Ogun,7.160427265,3.350017455
Policemen Clash with Prostitutes,11/15/11,Lagos,0,"Agege, Lagos, Nigeria",Lagos,6.443261653,3.391531071
Policewoman Shot Dead in Delta,11/15/11,Delta,1,"Warri South, Delta, Nigeria",Delta,5.890427265,5.680004434
"Robbers Kill Five, Abduct Policeman",11/15/11,Lagos,4,"Apapa, Lagos, Nigeria",Lagos,6.443261653,3.391531071
"Traditional Ruler, Seven Others Killed in Kogi",11/17/11,Kogi,8,"Ibaji, Kogi, Nigeria",Kogi,7.800388203,6.739939737
"Robbers Kill One, Injure Three",11/18/11,Adamawa,1,"Yola South, Adamawa, Nigeria",Adamawa,10.2703408,13.2700321
Gunmen Attack Delta Church,11/19/11,Delta,0,"Ika South, Delta, Nigeria",Delta,5.890427265,5.680004434
Gunmen Kill Four People in Bauchi State Village,11/20/11,Bauchi,4,"Bogoro, Bauchi, Nigeria",Bauchi,11.68040977,10.19001339
"Robbers Bomb Police Station, Kill Two Policemen",11/20/11,Kogi,2,"Kabba/Bunu, Kogi, Nigeria",Kogi,7.800388203,6.739939737
Three Gunned Down in Plateau State,11/20/11,Plateau,3,"Barkin Ladi, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Attack on Maiduguri Police Station,11/21/11,Borno,0,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Police Violence in Maiduguri,11/21/11,Borno,0,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
"Protocol Officer, Herbalist Killed",11/21/11,Borno,2,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Two Dead in Akwa Ibom,11/21/11,Akwa Ibom,2,"Mkpat Enin, Akwa Ibom, Nigeria",Akwa Ibom,5.007996056,7.849998524
Targeted Killing Leaves One Dead in Delta State,11/22/11,Delta,1,"Ika South, Delta, Nigeria",Delta,5.890427265,5.680004434
Jos Attacks Kill Dozens,11/23/11,Plateau,25,"Barkin Ladi, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Student Dies in Heipang,11/24/11,Plateau,1,"Jos South, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Militants Launch Attack in Geidam,11/26/11,Yobe,4,"Geidam, Yobe, Nigeria",Yobe,11.74899608,11.96600457
Violence Among Political Parties in Kogi State,11/29/11,Kogi,0,"Igalamela-Odolu, Kogi, Nigeria",Kogi,7.800388203,6.739939737
Bomb Explodes in Maiduguri,12/1/11,Borno,0,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Mosque Attack in Maiduguri,12/1/11,Borno,2,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Tree Bomb Targets JTF Soldiers in Maiduguri,12/1/11,Borno,0,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Man Killed in Ondo,12/3/11,Ondo,1,"Ondo East, Ondo, Nigeria",Ondo,7.250395934,5.199982054
Policeman Assassinated in Jalingo,12/3/11,Taraba,1,"Jalingo, Taraba, Nigeria",Taraba,7.870409769,9.780012572
Targeted Killing in Imo,12/3/11,Imo,5,"Orlu, Imo, Nigeria",Imo,5.492997053,7.026003588
Two Killed at A Wedding in Maiduguri,12/3/11,Borno,3,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
100 Gunmen Attack Azare banks and police stations,12/4/11,Bauchi,7,"Katagum, Bauchi, Nigeria",Bauchi,11.68040977,10.19001339
Port Harcourt Bank Attack,12/5/11,Rivers,6,"Port-Harcourt, Rivers, Nigeria",Rivers,4.810002257,7.010000772
"Three People Died,100 Injured As Community Clashes With Security Agents",12/6/11,Delta,3,"Isoko South, Delta, Nigeria",Delta,5.890427265,5.680004434
Explosion in Kaduna,12/7/11,Kaduna,12,"Kaduna North, Kaduna, Nigeria",Kaduna,11.0799813,7.710009724
Suspected Pirates Kill 3 Marine Corps in Bayelsa,12/9/11,Bayelsa,3,"Nembe, Bayelsa, Nigeria",,,
Explosion in Delta State Mosque,12/10/11,Delta,0,"Sapele, Delta, Nigeria",Delta,5.890427265,5.680004434
"Three Explosions in Jos Kill One, Injure 14",12/10/11,Plateau,1,"Jos North, Plateau, Nigeria",Plateau,9.929973978,8.890041055
"Gunmen Kill One, Injure Two in Kaduna",12/11/11,Kaduna,1,"Kaura, Kaduna, Nigeria",Kaduna,11.0799813,7.710009724
Gunmen Kill Three Soldiers in Borno,12/11/11,Borno,3,"Kukawa, Borno, Nigeria",Borno,10.62042279,12.18999467
Arsonists Blow up Ikole INEC Office,12/12/11,Ekiti,0,"Ekiti, Ekiti, Nigeria",Ekiti,7.630372741,5.219980834
Morning Suicide Explosion in Maiduguri,12/13/11,Borno,10,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
"Bomb Explosion Kills two, injures others in Maiduguri",12/14/11,Borno,2,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Bomb Targets Military Checkpoint,12/14/11,Borno,0,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Gunmen Raid Airforce Secondary School in Kano,12/15/11,Kano,4,"Dawakin Tofa, Kano, Nigeria",Kano,11.99997683,8.5200378
Gunmen Kill Police in northern city,12/16/11,Kano,2,"Kumbotso, Kano, Nigeria",Kano,11.99997683,8.5200378
Three Die As Explosion Rocks Bomb Factory in Borno,12/17/11,Borno,3,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
"Boko Haram, Police Shoot-Out - Seven Killed, 14 Arrested",12/18/11,Kano,8,"Kano Municipal, Kano, Nigeria",Kano,11.99997683,8.5200378
"One Killed, 3 Others Injured in Illegal Bomb Factory",12/18/11,Kaduna,1,"Igabi, Kaduna, Nigeria",Kaduna,11.0799813,7.710009724
"Bandits Bomb Police Station, Bank in Kogi",12/19/11,Kogi,2,"Ijumu, Kogi, Nigeria",Kogi,7.800388203,6.739939737
"Blast kills 1, injures 2 at bomb factory in Damaturu",12/19/11,Yobe,1,"Damaturu, Yobe, Nigeria",Yobe,11.74899608,11.96600457
Five feared dead as Fulani herdsmen invade Tiv communities,12/20/11,Taraba,6,"Takum, Taraba, Nigeria",Taraba,7.870409769,9.780012572
"Five Killed, Four Injured in Fresh Kaduna Attack",12/20/11,Kaduna,5,"Kaura, Kaduna, Nigeria",Kaduna,11.0799813,7.710009724
"Gunmen Raid Three Banks in Kogi, Kill 10",12/20/11,Kogi,15,"Okene, Kogi, Nigeria",Kogi,7.800388203,6.739939737
Robbers Raid Ekiti Bank,12/21/11,Ekiti,1,"Ikole, Ekiti, Nigeria",Ekiti,7.630372741,5.219980834
Blasts Rock Maiduguri,12/22/11,Borno,16,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Bomb Explosions in Potsikum,12/22/11,Yobe,7,"Potiskum, Yobe, Nigeria",Yobe,11.74899608,11.96600457
Explosion rocks Anambra monarch’s palace,12/22/11,Anambra,0,"Idemili North, Anambra, Nigeria",Anambra,6.210433572,7.06999711
Multiple Explosions Kill Four in Damaturu,12/22/11,Yobe,5,"Damaturu, Yobe, Nigeria",Yobe,11.74899608,11.96600457
"81 Killed As Boko Haram, Soldiers Clash",12/23/11,Yobe,81,"Damaturu, Yobe, Nigeria",Yobe,11.74899608,11.96600457
Adamawa Police Detonate Three Bombs in Mubi,12/23/11,Adamawa,0,"Mubi South, Adamawa, Nigeria",Adamawa,10.2703408,13.2700321
Christmas Eve Bomb Attack in Gadaka,12/24/11,Yobe,0,"Fika, Yobe, Nigeria",Yobe,11.74899608,11.96600457
Christmas Blast at Church in Jos,12/25/11,Plateau,2,"Jos, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Christmas Day Bomb Attacks kill over 35 in Madalla,12/25/11,Niger,35,"Suleja, Niger, Nigeria",Niger,10.4003587,5.469939737
"Suicide Bomber Hits Yobe SSS HQ, Four Killed",12/25/11,Yobe,4,"Damaturu, Yobe, Nigeria",Yobe,11.74899608,11.96600457
"Miyetti Allah Chief, 11 Others Killed By Herders",12/26/11,Adamawa,11,", Adamawa, Nigeria",Adamawa,10.2703408,13.2700321
Family of three killed in Plateau night attack,12/27/11,Plateau,3,"Riyom, Plateau, Nigeria",Plateau,9.929973978,8.890041055
Bomb At Arabic School in Southern Region Wounds Seven,12/28/11,Delta,0,"Sapele, Delta, Nigeria",Delta,5.890427265,5.680004434
Bombers Attack Tunfure Resort in Gombe,12/29/11,Gombe,0,"Gombe, Gombe, Nigeria",Gombe,10.29044293,11.16995357
"Robbers Kill Three in Rivers, Steal N8 Million",12/29/11,Rivers,3,"Port-Harcourt, Rivers, Nigeria",Rivers,4.810002257,7.010000772
Four Killed as Blast Rocks Maiduguri Mosque,12/30/11,Borno,6,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Robbers kill 2 in Market after Mosque Bomb,12/30/11,Borno,3,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
"Assassins Kill UBEC Boss, Royal Father in Kogi",12/31/11,Kogi,4,", Kogi, Nigeria",Kogi,7.800388203,6.739939737
East Nigeria Clashes Kill At Least 50,12/31/11,Ebonyi,60,"Ishielu, Ebonyi, Nigeria",,,
"Soldiers Shoot Driver, Woman in Maiduguri",1/1/12,Borno,2,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Damaturu Neighborhood Lead Assasinated,1/3/12,Yobe,1,"Damaturu, Yobe, Nigeria",Yobe,11.74899608,11.96600457
"Gunmen Attack Police Station, Kill 12 Year-Old Girl in Jigaw",1/3/12,Jigawa,1,"Biriniwa, Jigawa, Nigeria",Jigawa,11.7991891,9.350334607
"Head of Shehuri, Maiduguri Shot Dead",1/3/12,Borno,1,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
One Killed As Protests Spread,1/3/12,Kwara,2,", Kwara, Nigeria",Kwara,8.490010192,4.549995889
Bomb explosion rocks Damaturu drinking spot,1/4/12,Yobe,2,"Damaturu, Yobe, Nigeria",Yobe,11.74899608,11.96600457
Gun Battle in Dala town claims the 2 lives,1/4/12,Borno,2,"Maiduguri, Borno, Nigeria",Borno,10.62042279,12.18999467
Gunmen kill two at Gombe relaxation spot,1/4/12,Gombe,2,"Gombe, Gombe, Nigeria",Gombe,10.29044293,11.16995357
